noBidThreshold,minBid,bidRange,sigmoidDegree,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.2833333333333333,250,250,-20,35142,153.0,3189224.0,0,0.004353764725968926,90752.48989812759,20844.601307189543,0.28079407701739956
0.2833333333333333,250,250,-30,34984,153.0,3147177.0,0,0.004373427852732678,89960.46764235078,20569.78431372549,0.2808058748934578
0.2833333333333333,250,250,-40,34915,153.0,3128971.0,0,0.004382070743233568,89616.81225834168,20450.7908496732,0.28081106062775835
0.2833333333333333,250,250,-50,34881,153.0,3119938.0,0,0.0043863421346865055,89445.19939221926,20391.75163398693,0.2808136234626301
0.3666666666666667,100,50,-10,15863,104.0,904742.0,0,0.0065561369223980336,57034.73491773309,8699.442307692309,0.1930245912443479
0.3666666666666667,100,50,-20,15719,105.0,891716.0,0,0.006679814237546918,56728.545072841785,8492.533333333333,0.19491697945161907
0.3666666666666667,100,50,-30,15611,106.0,881174.0,0,0.006790083915188008,56445.7113573762,8312.962264150943,0.19680132307638556
0.3666666666666667,100,50,-40,15572,106.0,877617.0,0,0.006807089648086309,56358.65656306191,8279.405660377359,0.19681152651612455
0.3666666666666667,100,50,-50,15564,106.0,877211.0,0,0.006810588537650989,56361.53945001285,8275.575471698114,0.19681362584986334
0.3666666666666667,100,100,-10,16935,122.0,1058582.0,0,0.0072040153528196045,62508.53262474167,8676.901639344262,0.2261405910298736
0.3666666666666667,100,100,-20,16659,121.0,1036164.0,0,0.007263341136922985,62198.451287592296,8563.338842975207,0.22435800468215383
0.3666666666666667,100,100,-30,16524,121.0,1026585.0,0,0.007322682159283466,62126.90631808279,8484.173553719009,0.22439360929557012
0.3666666666666667,100,100,-40,16443,122.0,1020014.0,0,0.007419570637961443,62033.32725171805,8360.77049180328,0.2262699242009587
0.3666666666666667,100,100,-50,16405,122.0,1017025.0,0,0.007436757086254191,61994.81865284974,8336.27049180328,0.22628023606993436
0.3666666666666667,100,150,-10,17937,132.0,1228101.0,0,0.007359090148854323,68467.46947650108,9303.795454545454,0.2444154540893126
0.3666666666666667,100,150,-20,17450,130.0,1183181.0,0,0.007449856733524355,67804.0687679083,9101.392307692307,0.240833550403751
0.3666666666666667,100,150,-30,17285,130.0,1173530.0,0,0.007520971940989297,67892.9707839167,9027.153846153846,0.24087621952822996
0.3666666666666667,100,150,-40,17186,130.0,1167409.0,0,0.007564296520423601,67927.90643547074,8980.069230769232,0.24090221427589054
0.3666666666666667,100,150,-50,17130,130.0,1163339.0,0,0.007589025102159953,67912.37594862815,8948.761538461538,0.24091705142493236
0.3666666666666667,100,200,-10,18738,138.0,1377360.0,0,0.007364713416586615,73506.24399615754,9980.869565217392,0.2553279189590429
0.3666666666666667,100,200,-20,18014,134.0,1291539.0,0,0.007438658820917064,71696.40279782392,9638.350746268658,0.2480995589289139
0.3666666666666667,100,200,-30,17688,134.0,1254964.0,0,0.007575757575757576,70950.02261420172,9365.402985074626,0.2481818181818182
